Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 158 iterations
Thread 15 says: 149 iterations
Thread 14 says: 165 iterations
Thread 13 says: 164 iterations
Thread 12 says: 168 iterations
Thread 11 says: 206 iterations
Thread 10 says: 144 iterations
Thread 9 says: 172 iterations
Thread 8 says: 184 iterations
Thread 7 says: 170 iterations
Thread 6 says: 184 iterations
Thread 5 says: 168 iterations
Thread 4 says: 165 iterations
Thread 3 says: 171 iterations
Thread 2 says: 192 iterations
Thread 1 says: 178 iterations
0 errors out of 1 tests
