Running walthread1 for 20 seconds...
Thread 97 says: 40 checkpoints
Thread 96 says: 60 iterations
Thread 95 says: 60 iterations
Thread 94 says: 73 iterations
Thread 93 says: 61 iterations
Thread 92 says: 48 iterations
Thread 91 says: 54 iterations
Thread 90 says: 63 iterations
Thread 89 says: 52 iterations
Thread 88 says: 66 iterations
Thread 87 says: 56 iterations
Thread 86 says: 43 iterations
Thread 85 says: 56 iterations
Thread 84 says: 107 iterations
Thread 83 says: 49 iterations
Thread 82 says: 83 iterations
Thread 81 says: 54 iterations
Thread 80 says: 63 iterations
Thread 79 says: 59 iterations
Thread 78 says: 43 iterations
Thread 77 says: 56 iterations
Thread 76 says: 56 iterations
Thread 75 says: 48 iterations
Thread 74 says: 68 iterations
Thread 73 says: 58 iterations
Thread 72 says: 75 iterations
Thread 71 says: 67 iterations
Thread 70 says: 52 iterations
Thread 69 says: 59 iterations
Thread 68 says: 45 iterations
Thread 67 says: 45 iterations
Thread 66 says: 62 iterations
Thread 65 says: 54 iterations
Thread 64 says: 49 iterations
Thread 63 says: 62 iterations
Thread 62 says: 36 iterations
Thread 61 says: 62 iterations
Thread 60 says: 58 iterations
Thread 59 says: 75 iterations
Thread 58 says: 63 iterations
Thread 57 says: 58 iterations
Thread 56 says: 43 iterations
Thread 55 says: 55 iterations
Thread 54 says: 64 iterations
Thread 53 says: 57 iterations
Thread 52 says: 45 iterations
Thread 51 says: 54 iterations
Thread 50 says: 68 iterations
Thread 49 says: 59 iterations
Thread 48 says: 73 iterations
Thread 47 says: 64 iterations
Thread 46 says: 44 iterations
Thread 45 says: 70 iterations
Thread 44 says: 61 iterations
Thread 43 says: 56 iterations
Thread 42 says: 60 iterations
Thread 41 says: 42 iterations
Thread 40 says: 61 iterations
Thread 39 says: 53 iterations
Thread 38 says: 54 iterations
Thread 37 says: 53 iterations
Thread 36 says: 78 iterations
Thread 35 says: 65 iterations
Thread 34 says: 56 iterations
Thread 33 says: 65 iterations
Thread 32 says: 46 iterations
Thread 31 says: 59 iterations
Thread 30 says: 63 iterations
Thread 29 says: 56 iterations
Thread 28 says: 48 iterations
Thread 27 says: 54 iterations
Thread 26 says: 36 iterations
Thread 25 says: 67 iterations
Thread 24 says: 69 iterations
Thread 23 says: 55 iterations
Thread 22 says: 64 iterations
Thread 21 says: 44 iterations
Thread 20 says: 50 iterations
Thread 19 says: 41 iterations
Thread 18 says: 66 iterations
Thread 17 says: 55 iterations
Thread 16 says: 71 iterations
Thread 15 says: 68 iterations
Thread 14 says: 58 iterations
Thread 13 says: 89 iterations
Thread 12 says: 72 iterations
Thread 11 says: 71 iterations
Thread 10 says: 76 iterations
Thread 9 says: 83 iterations
Thread 8 says: 59 iterations
Thread 7 says: 49 iterations
Thread 6 says: 59 iterations
Thread 5 says: 46 iterations
Thread 4 says: 71 iterations
Thread 3 says: 68 iterations
Thread 2 says: 56 iterations
Thread 1 says: 77 iterations
0 errors out of 1 tests
