Running walthread1 for 20 seconds...
Thread 97 says: 40 checkpoints
Thread 96 says: 62 iterations
Thread 95 says: 59 iterations
Thread 94 says: 58 iterations
Thread 93 says: 60 iterations
Thread 92 says: 42 iterations
Thread 91 says: 58 iterations
Thread 90 says: 48 iterations
Thread 89 says: 45 iterations
Thread 88 says: 52 iterations
Thread 87 says: 69 iterations
Thread 86 says: 48 iterations
Thread 85 says: 88 iterations
Thread 84 says: 60 iterations
Thread 83 says: 78 iterations
Thread 82 says: 74 iterations
Thread 81 says: 34 iterations
Thread 80 says: 58 iterations
Thread 79 says: 66 iterations
Thread 78 says: 58 iterations
Thread 77 says: 79 iterations
Thread 76 says: 57 iterations
Thread 75 says: 58 iterations
Thread 74 says: 87 iterations
Thread 73 says: 56 iterations
Thread 72 says: 60 iterations
Thread 71 says: 52 iterations
Thread 70 says: 49 iterations
Thread 69 says: 47 iterations
Thread 68 says: 78 iterations
Thread 67 says: 38 iterations
Thread 66 says: 51 iterations
Thread 65 says: 62 iterations
Thread 64 says: 57 iterations
Thread 63 says: 51 iterations
Thread 62 says: 50 iterations
Thread 61 says: 66 iterations
Thread 60 says: 69 iterations
Thread 59 says: 56 iterations
Thread 58 says: 52 iterations
Thread 57 says: 39 iterations
Thread 56 says: 62 iterations
Thread 55 says: 81 iterations
Thread 54 says: 55 iterations
Thread 53 says: 57 iterations
Thread 52 says: 59 iterations
Thread 51 says: 65 iterations
Thread 50 says: 65 iterations
Thread 49 says: 62 iterations
Thread 48 says: 47 iterations
Thread 47 says: 61 iterations
Thread 46 says: 45 iterations
Thread 45 says: 72 iterations
Thread 44 says: 46 iterations
Thread 43 says: 62 iterations
Thread 42 says: 50 iterations
Thread 41 says: 42 iterations
Thread 40 says: 60 iterations
Thread 39 says: 40 iterations
Thread 38 says: 56 iterations
Thread 37 says: 42 iterations
Thread 36 says: 52 iterations
Thread 35 says: 77 iterations
Thread 34 says: 56 iterations
Thread 33 says: 69 iterations
Thread 32 says: 45 iterations
Thread 31 says: 53 iterations
Thread 30 says: 61 iterations
Thread 29 says: 82 iterations
Thread 28 says: 95 iterations
Thread 27 says: 60 iterations
Thread 26 says: 63 iterations
Thread 25 says: 69 iterations
Thread 24 says: 62 iterations
Thread 23 says: 54 iterations
Thread 22 says: 47 iterations
Thread 21 says: 74 iterations
Thread 20 says: 39 iterations
Thread 19 says: 58 iterations
Thread 18 says: 52 iterations
Thread 17 says: 56 iterations
Thread 16 says: 73 iterations
Thread 15 says: 38 iterations
Thread 14 says: 74 iterations
Thread 13 says: 43 iterations
Thread 12 says: 67 iterations
Thread 11 says: 73 iterations
Thread 10 says: 51 iterations
Thread 9 says: 59 iterations
Thread 8 says: 61 iterations
Thread 7 says: 70 iterations
Thread 6 says: 41 iterations
Thread 5 says: 44 iterations
Thread 4 says: 70 iterations
Thread 3 says: 51 iterations
Thread 2 says: 45 iterations
Thread 1 says: 74 iterations
0 errors out of 1 tests
