Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 179 iterations
Thread 15 says: 188 iterations
Thread 14 says: 187 iterations
Thread 13 says: 173 iterations
Thread 12 says: 176 iterations
Thread 11 says: 154 iterations
Thread 10 says: 152 iterations
Thread 9 says: 166 iterations
Thread 8 says: 153 iterations
Thread 7 says: 193 iterations
Thread 6 says: 173 iterations
Thread 5 says: 144 iterations
Thread 4 says: 183 iterations
Thread 3 says: 176 iterations
Thread 2 says: 176 iterations
Thread 1 says: 167 iterations
0 errors out of 1 tests
